"term","estimate_unadjusted","standard_error_unadjusted","odds_ratio_unadjusted","conf_low_unadjusted","conf_high_unadjusted","p_value_unadjusted","estimate_adjusted","standard_error_adjusted","odds_ratio_adjusted","conf_low_adjusted","conf_high_adjusted","p_value_adjusted","food_security"
"food_securityMarginal food security",0.770459044215811,0.053777560841865,2.16075790958073,1.94419182444302,2.40144757586009,2.5862128256217e-40,0.638670742540354,0.0541821509652219,1.89396164267704,1.70276535876771,2.10662654455684,6.70433288005731e-29,"Marginal food security"
"food_securityLow food security",0.971312758005863,0.0694844774992051,2.6414097160863,2.30447663211035,3.0276051364625,1.06781507734111e-38,0.681494776116592,0.0690262752796529,1.97683044379324,1.72620068319273,2.26384952894347,2.35315945130275e-21,"Low food security"
"food_securityVery low food security",1.19687217729045,0.0776590781039704,3.30974840951598,2.8415767134788,3.85505500602254,1.79694656578087e-45,0.954215492821317,0.0804886994541206,2.59663270666098,2.21694618308621,3.04134645429927,3.49858462140605e-29,"Very low food security"
